id	timestamp	hour	day	month	datetime	timezone	source	destination	cab_type	product_id	name	price	distance	surge_multiplier	latitude	longitude	temperature	apparentTemperature	short_summary	long_summary	precipIntensity	precipProbability	humidity	windSpeed	windGust	windGustTime	visibility	temperatureHigh	temperatureHighTime	temperatureLow	temperatureLowTime	apparentTemperatureHigh	apparentTemperatureHighTime	apparentTemperatureLow	apparentTemperatureLowTime	icon	dewPoint	pressure	windBearing	cloudCover	uvIndex	visibility.1	ozone	sunriseTime	sunsetTime	moonPhase	precipIntensityMax	uvIndexTime	temperatureMin	temperatureMinTime	temperatureMax	temperatureMaxTime	apparentTemperatureMin	apparentTemperatureMinTime	apparentTemperatureMax	apparentTemperatureMaxTime
424553bb-7174-41ea-aeb4-fe06d4f4b9d7	1544952608	9	16	12	12/16/2018 9:30	America/New_York	Haymarket Square	North Station	Lyft	lyft_line	Shared	5	0.44	1	42.2148	-71.033	42.34	37.12	 Mostly Cloudy 	 Rain throughout the day. 	0	0	0.68	8.66	9.17	1545015600	10	43.68	1544968800	34.19	1545048000	37.95	1544968800	27.39	1545044400	 partly-cloudy-night 	32.7	1021.98	57	0.72	0	10	303.8	1544962084	1544994864	0.3	0.1276	1544979600	39.89	1545012000	43.68	1544968800	33.73	1545012000	38.07	1544958000
4bd23055-6827-41c6-b23b-3c491f24e74d	1543284024	2	27	11	11/27/2018 2:00	America/New_York	Haymarket Square	North Station	Lyft	lyft_premier	Lux	11	0.44	1	42.2148	-71.033	43.58	37.35	 Rain 	 Rain until morning, starting again in the evening. 	0.1299	1	0.94	11.98	11.98	1543291200	4.786	47.3	1543251600	42.1	1543298400	43.92	1543251600	36.2	1543291200	 rain 	41.83	1003.97	90	1	0	4.786	291.1	1543232969	1543266992	0.64	0.13	1543251600	40.49	1543233600	47.3	1543251600	36.2	1543291200	43.92	1543251600
981a3613-77af-4620-a42a-0c0866077d1e	1543366822	1	28	11	11/28/2018 1:00	America/New_York	Haymarket Square	North Station	Lyft	lyft	Lyft	7	0.44	1	42.2148	-71.033	38.33	32.93	 Clear 	 Light rain in the morning. 	0	0	0.75	7.33	7.33	1543334400	10	47.55	1543320000	33.1	1543402800	44.12	1543320000	29.11	1543392000	 clear-night 	31.1	992.28	240	0.03	0	10	315.7	1543319437	1543353364	0.68	0.1064	1543338000	35.36	1543377600	47.55	1543320000	31.04	1543377600	44.12	1543320000
c2d88af2-d278-4bfd-a8d0-29ca77cc5512	1543553583	4	30	11	11/30/2018 4:53	America/New_York	Haymarket Square	North Station	Lyft	lyft_luxsuv	Lux Black XL	26	0.44	1	42.2148	-71.033	34.38	29.63	 Clear 	 Partly cloudy throughout the day. 	0	0	0.73	5.28	5.28	1543514400	10	45.03	1543510800	28.9	1543579200	38.53	1543510800	26.2	1543575600	 clear-night 	26.64	1013.73	310	0	0	10	291.1	1543492370	1543526114	0.75	0	1543507200	34.67	1543550400	45.03	1543510800	30.3	1543550400	38.53	1543510800
e0126e1f-8ca9-4f2e-82b3-50505a09db9a	1543463360	3	29	11	11/29/2018 3:49	America/New_York	Haymarket Square	North Station	Lyft	lyft_plus	Lyft XL	9	0.44	1	42.2148	-71.033	37.44	30.88	 Partly Cloudy 	 Mostly cloudy throughout the day. 	0	0	0.7	9.14	9.14	1543446000	10	42.18	1543420800	36.71	1543478400	35.75	1543420800	30.29	1543460400	 partly-cloudy-night 	28.61	998.36	303	0.44	0	10	347.7	1543405904	1543439738	0.72	1.00E-04	1543420800	33.1	1543402800	42.18	1543420800	29.11	1543392000	35.75	1543420800
f6f6d7e4-3e18-4922-a5f5-181cdd3fa6f2	1545071112	18	17	12	12/17/2018 18:25	America/New_York	Haymarket Square	North Station	Lyft	lyft_lux	Lux Black	16.5	0.44	1	42.2148	-71.033	38.75	33.51	 Overcast 	 Light rain in the morning and overnight. 	0	0	0.84	7.19	8.88	1545022800	8.325	40.61	1545076800	24.07	1545130800	34.97	1545080400	12.04	1545134400	 cloudy 	34.41	1000.46	294	1	1	8.325	335.8	1545048523	1545081282	0.33	0.0221	1545066000	34.19	1545048000	40.66	1545022800	27.39	1545044400	34.97	1545080400
462816a3-820d-408b-8549-0b39e82f65ac	1543208580	5	26	11	11/26/2018 5:03	America/New_York	Back Bay	Northeastern University	Lyft	lyft_plus	Lyft XL	10.5	1.08	1	42.3503	-71.081	41.99	41.99	 Overcast 	 Rain until morning, starting again in the evening. 	0	0	0.91	0.53	0.88	1543287600	4.675	46.46	1543255200	42.17	1543298400	43.81	1543251600	37.08	1543298400	 cloudy 	39.54	1014.11	91	1	0	4.675	312.3	1543233004	1543266980	0.64	0.1245	1543251600	40.67	1543233600	46.46	1543255200	37.45	1543291200	43.81	1543251600
474d6376-bc59-4ec9-bf57-4e6d6faeb165	1543780385	19	2	12	12/2/2018 19:53	America/New_York	Back Bay	Northeastern University	Lyft	lyft_lux	Lux Black	16.5	1.08	1	42.3503	-71.081	49.88	49.22	 Light Rain 	 Light rain until evening. 	0.0246	1	0.93	3.38	3.38	1543755600	3.052	50.8	1543788000	44.97	1543816800	50.13	1543788000	45.62	1543816800	 rain 	48.02	1004.33	159	1	0	3.052	282.5	1543751798	1543785242	0.86	0.0916	1543770000	36.32	1543726800	50.8	1543788000	35.84	1543748400	50.13	1543788000
4f9fee41-fde3-4767-bbf1-a00e108701fb	1543818483	6	3	12	12/3/2018 6:28	America/New_York	Back Bay	Northeastern University	Lyft	lyft_line	Shared	3	1.08	1	42.3503	-71.081	45.58	45.58	 Foggy 	 Foggy in the morning. 	0	0	0.96	1.25	2.09	1543856400	1.413	57.02	1543852800	33.74	1543921200	56.35	1543852800	28.53	1543914000	 fog 	44.5	1001.06	307	1	0	1.413	290.9	1543838259	1543871628	0.89	4.00E-04	1543852800	43.09	1543896000	57.02	1543852800	39.9	1543896000	56.35	1543852800
8612d909-98b8-4454-a093-30bd48de0cb3	1543315522	10	27	11	11/27/2018 10:45	America/New_York	Back Bay	Northeastern University	Lyft	lyft_luxsuv	Lux Black XL	27.5	1.08	1	42.3503	-71.081	45.45	41.77	 Light Rain 	 Light rain in the morning. 	0.0624	1	0.93	6.87	7.42	1543338000	2.686	46.91	1543320000	33.82	1543399200	44.01	1543320000	30.19	1543399200	 rain 	43.52	989.98	79	1	0	2.686	296.2	1543319472	1543353352	0.68	0.1425	1543338000	36.34	1543377600	46.91	1543320000	32.43	1543377600	44.01	1543320000
